FRUpts ,(SCO0137 or  SCO3196) and SCO1391 and SCO5841 
MG2uabc ,SCO0245 and SCO2499 and ( SCO0210 or SCO5154 or SCO7540 or SCO0246 or SCO1435 or SCO1436 or SCO3764 or SCO1251 or SCO2534 or SCO3765 )
GLUt2r ,(SCO0836 or SCO2070) and SCO2656 and SCO4498 
Kt2,SCO3826 or SCO5963 or SCO6330 or SCO7187 o SCO7196 or SCO7660
ASO3t8 ,(SCO3698 or SCO6837) and ( SCO7367 or SCO3577 or SCO3578 )
PTRCt2 ,SCO7002 or SCO5057 
CHLt2 ,SCO6370 and SCO6739
CD2t4,SCO0874 and ( SCO0776 or SCO1310 or SCO2772 or SCO6751 )
COBALT2t3 ,SCO2772 or SCO3024 or SCO3521  or  SCO0776 or SCO1310 or SCO2772 or SCO6751 
CD2t4,SCO2772 or SCO3024 or SCO3521  or  SCO0776 or SCO1310 or SCO2772 or SCO6751 
ZN2t3,SCO2772 or SCO3024 or SCO3521  or  SCO0776 or SCO1310 or SCO2772 or SCO6751 
NAt3_1,(SCO2071 or SCO3185) and SCO1962
NO3t7,SCO2959 or SCO3809 or SCO0213
GLCt2 ,SCO3915 or SCO5578 or SCO7153 or SCO4007 or SCO4024 or SCO4265 or SCO4896 or SCO5947 
ARBt2r ,SCO6567 and SCO6646
AKGt2r ,SCO6690 or SCO6809 or SCO6822 or SCO6896 or SCO6899 or SCO6970 or SCO7128 
ACTt,(SCO0423 or SCO0839 or SCO2454 or SCO2519 or SCO3166 or SCO5084 or SCO5502 or SCO5905 or SCO6091 or SCO6666 or SCO7077 or SCO7090 ) and SCO5083
INOSTt42 ,SCO3139 or SCO4229 or SCO4437 or SCO0152 or SCO0871 or SCO1218 
PROt4 ,SCO5529 or SCO5282 or SCO5827 or SCO5871 or SCO7596
THRt4 ,SCO1632 and SCO1633 and SCO5150 and SCO3410 and SCO3410
MALt2_2 ,SCO0625 and SCO5436
SUCFUMt,SCO0625 and SCO5436
GLYBabc ,( SCO2931 and SCO2930 and SCO2932 and SCO2933 ) or ( SCO6062 and SCO6063 and SCO6064 and SCO6065 ) or (SCO0169 or SCO4770) 
LCTSabc ,(SCO0271 or SCO0353 or SCO0363 or SCO0453 or SCO0454 or SCO0455) and SCO7409 and SCO7410 and SCO7408  and SCO1065
DARBabc,(SCO0272 or SCO0354 or SCO7011 or SCO7012) and SCO1065
MOBDabc,( SCO3706 and SCO3705 and SCO3704 ) or SCO0824 
XYLabc ,( SCO2404  or SCO3667)and SCO6010 and SCO6011 and SCO6009 
ARBabc ,SCO2405 or ( SCO6567 and SCO6568 and SCO6569 ) 
RIBabc,(SCO2406 or SCO6980 or SCO6981) or ( SCO2746 and SCO2747 and SCO2749 ) or ( SCO6259 and SCO6258 and SCO6257 ) 
CHTBSabc , ((SCO2432 or SCO6229 or SCO6230 or SCO7487 or SCO7505 or SCO6086 or SCO6087) and SCO5232 and SCO5233 and SCO5234 and SCO4240))   or (SCO6005 and SCO6006 and SCO6007 and SCO4240 ) 
GLNabc ,SCO2664 and  SCO5258 and SCO5259 and SCO5260 
SPMDabc ,(SCO3454 or SCO3455 or SCO3456) and SCO5668 and SCO5669 and SCO5670 and SCO5658 and SCO5667  
GALabc,SCO4887 or SCO4888 
CELLabc ,SCO5429 or (SCO7556 and SCO7557 and SCO7555 and SCO4240 ) or ( SCO2796 and SCO2797 and SCO2795 and SCO4240 ) 
Niabc ,(SCO5961 and  SCO6454 and SCO6452 and SCO6453 and SCO6451 ) or SCO2499  
RMNabc,( SCO0670 or SCO6979) and SCO0809 and SCO0810 and SCO0808 and SCO0811 
TAURabc ,SCO6094 or ( SCO7544 and SCO7545 and SCO7546 ) 
METabc ,(SCO6111 or SCO6455) or ( SCO1559 and SCO1558 and SCO1557 ) 
THMabc ,SCO6149 or ( SCO5648 and SCO5647 and SCO5646 )
SULabc,SCO7680 or ( SCO3706 and SCO3705 and SCO3704 )
CD2abc ,SCO0164 or SCO0860 or SCO6460 
MG2uabc ,SCO3216 or SCO2499 or SCO4332 
