metabolite ID,biocyc name,metanetx name,metanetx ID,KEGG_name,KEGG ID,chemical formula
phis__L,a[protein]-N-phosphohistidine,protein-N-phosphohistidine,MNXM162508,protein N(pi)-phospho-L-histidine,C04261,C7H9N4O5PR2
ascb__L,L-ascorbate,ascorbate,MNXM152361,ascorbate,C00072,C6H8O6
asc6p,L-ascorbate 6-phosphate,L-ascorbate 6-phosphate,MNXM2689,L-ascorbate 6-phosphate ,C16186,C6H909P
telu,methylated tellurite,methylated tellurite,MNXM531896,dimethyl telluride,C02677,C2H6Te
fb,chitobiose,chitobiose,MNXM46302,chitobiose,C01674,C16H28N2O11
fus,fusaric acid,fusaric acid,MNXM54068,fusaric acid,C10146,C10H13NO2
indig,none,"6,6'-dibromoindigotin",MNXM488555,"6,6'-dibromoindigo",C17084,C16H8Br2N2O2
TPP,tetraphenylphosphonium,tetraphenylphosphonium,MNXM84011,tetraphenylphosphonium,C11152,C24H2OP
prn,purine nucleoside ,purine nucleoside,MNXM79745,purine ribonucleoside,C15586,C10H12N4O4
cy,cyanate,cyanate,MNXM1191,cyanate,C01417,CHNO
entbactin,enterobactin,enterobactin,MNXM883,enterobactin,C05821,C30H27N3O15
oxformate,oxalate:formate,oxalate:formate,MNXM39,oxalate:formate,C00058,CH2O2
tel,tellurite,tellurite,MNXM22001,ethyl tellurac,C19570,C20H40N4S8Te
fucose,fucose,fucose,MNXM53947,fucose,C01019,C01019
glucs,beta-D-glucoside,glucoside,MNXM55183,beta-D--glucoside,C00963,C6H11O6R
des,phosphonoacetaldehyde,phosphonoacetaldehyde,MNXM803,2-oxoethylphosphonate,C03167,C2H5O4P
fentero,ferric-enterobactin complex,ferrienterobactin,MNXM7354,Fe-enerobactin,C06230,C30H21N3015
omycin,oleandomycin,oleandomycins,MNXM65458,oleandomycin,C01946,C35H61NO12
xylb,"(1,4)-beta-cylobiose",xylobiose,MNXM9373,xylobiose,C01630,C10H1809
lps, Lipopolysaccharide, Lipopolysaccharides,MNXM60426, Lipopolysaccharide, C00338,R

