Avg F516-518;M145 in F134 medium;;;;;;;;
SYS-F-u08-17;;;;;;;;;
Offline data;;;;;;;;;
;;;;;;;;;
Sample #;TAI;CDW;Glucose;Glutamic acid;PO4;Undecylprodigiosin 2;TBP;Germicidin-A;Germicidin-B
;[h];[g/l];[g/l];[g/l];[mg/l];[ng/ml];[spec units];[ng/ml];[ng/ml]
1;1;;41,7209404;44,22880731;451,8229167;;0,016533333;;
2;17;;41,71179048;44,68281589;464,3541667;< 0,5;;< 0,1;< 0,1
3;18;0,248888889;;;;;;;
4;19;;;;;;;;
5;20;;;;;;;;
6;21;;41,77571554;44,3111685;452,6680556;< 0,5;0,02;< 0,1;3,111761518
7;22;0,833333333;;;;;;;
8;23;;;;;;;;
9;24;;;;;;;;
10;25;;;;431,0340278;;;;
11;26;2,06;;;;;;;
12;27;;;;;;;;
13;28;;;;;;;;
14;29;;;;283,1006944;;;;
15;30;3,302222222;;;;;;;
16;31;;;;;;;;
17;32;;;;;;;;
18;33;;36,7091614;34,06271001;64,25892857;< 0,5;0,019466667;7,584208241;18,08980197
19;34;4,564444444;;;;;;;
20;35;;;;2,619047619;;;;
21;36;;;;;;;;
22;37;;35,02226266;29,66673908;21,35714286;< 0,5;0,0288;19,60384579;45,58431698
23;38;5,342222222;;;;;;;
24;39;;;;;;;;
25;40;;;;;;;;
26;41;;33,25316865;26,17976503;0,449305556;84,11818394;0,033866667;93,35365706;183,5666526
27;42;5,833333333;;;;;;;
28;43;;;;;;;;
29;44;;;;;;;;
30;45;;;;;871,6060412;0,053066667;257,5575498;424,5344063
31;46;5,66;;;;;;;
32;47;;;;;;;;
33;48;;;;;;;;
34;49;;31,19351904;19,21882002;8,19047619;1873,379819;0,2592;522,080018;753,4399832
35;50;5,862222222;;;;;;;
36;51;;;;;;;;
37;52;;;;;;;;
38;53;;;;;2322,13439;1,044;775,4380895;1130,604908
39;54;5,884444444;;;;;;;
40;55;;;;;;;;
41;56;;;;;;;;
42;57;6;29,08657289;13,23478119;-22,28888889;2419,079917;2,114933333;1061,262294;1434,377976
43;58;;;;;;;;
44;59;;;;;;;;
45;60;;;;;;;;
46;61;;;;;;;;
47;62;;;;;;;;
48;63;;;;;;;;
49;64;;;;;;;;
50;65;6,137777778;27,43014111;8,134153224;3,214285714;2194,193336;4,977866667;1517,067313;2081,684431
51;69;;;;;;;;
52;73;;;;;;;;
