Time [h],Sample ID,F-number,Strain,Sample #,CDW [g/l]
18,F516-P3,F516,M145,3,0.23
22,F516-P7,F516,M145,7,0.75
34,F516-P19,F516,M145,19,4.53
38,F516-P23,F516,M145,23,5.33
42,F516-P27,F516,M145,27,5.60
46,F516-P31,F516,M145,31,5.79
50,F516-P35,F516,M145,35,5.77
54,F516-P39,F516,M145,39,6.04
57,F516-P42,F516,M145,42,5.96
65,F516-P50,F516,M145,50,6.15
18,F517-P3,F517,M145,3,0.25
22,F517-P7,F517,M145,7,0.86
34,F517-P19,F517,M145,19,4.54
38,F517-P23,F517,M145,23,5.39
42,F517-P27,F517,M145,27,5.79
46,F517-P31,F517,M145,31,5.48
50,F517-P35,F517,M145,35,5.92
54,F517-P39,F517,M145,39,5.85
57,F517-P42,F517,M145,42,6.05
65,F517-P50,F517,M145,50,6.11
18,F518-P3,F518,M145,3,0.26
22,F518-P7,F518,M145,7,0.89
34,F518-P19,F518,M145,19,4.62
38,F518-P23,F518,M145,23,5.30
42,F518-P27,F518,M145,27,6.11
46,F518-P31,F518,M145,31,5.71
50,F518-P35,F518,M145,35,5.90
54,F518-P39,F518,M145,39,5.76
57,F518-P42,F518,M145,42,5.99
65,F518-P50,F518,M145,50,6.15
26,F519-P11,F519,M1152,11,0.40
30,F519-P15,F519,M1152,15,0.89
34,F519-P19,F519,M1152,19,1.66
38,F519-P23,F519,M1152,23,2.24
42,F519-P27,F519,M1152,27,3.10
46,F519-P31,F519,M1152,31,3.77
50,F519-P35,F519,M1152,35,4.73
54,F519-P39,F519,M1152,39,4.79
57,F519-P42,F519,M1152,42,4.49
61,F519-P46,F519,M1152,46,4.25
65,F519-P50,F519,M1152,50,4.23
73,F519-P52,F519,M1152,52,4.02
26,F521-P11,F521,M1152,11,0.37
30,F521-P15,F521,M1152,15,0.81
34,F521-P19,F521,M1152,19,1.55
38,F521-P23,F521,M1152,23,2.19
42,F521-P27,F521,M1152,27,3.19
46,F521-P31,F521,M1152,31,3.66
50,F521-P35,F521,M1152,35,4.77
54,F521-P39,F521,M1152,39,5.07
57,F521-P42,F521,M1152,42,4.80
61,F521-P46,F521,M1152,46,4.90
65,F521-P50,F521,M1152,50,4.65
73,F521-P52,F521,M1152,52,4.57
26,F522-P11,F522,M1152,11,0.45
30,F522-P15,F522,M1152,15,0.79
34,F522-P19,F522,M1152,19,1.63
38,F522-P23,F522,M1152,23,2.31
42,F522-P27,F522,M1152,27,3.26
46,F522-P31,F522,M1152,31,3.64
50,F522-P35,F522,M1152,35,4.69
54,F522-P39,F522,M1152,39,4.75
57,F522-P42,F522,M1152,42,4.87
61,F522-P46,F522,M1152,46,4.97
65,F522-P50,F522,M1152,50,4.81
73,F522-P52,F522,M1152,52,4.74
26,F525-P11,F525,M1146,11,0.80
30,F525-P15,F525,M1146,15,2.04
34,F525-P19,F525,M1146,19,3.53
38,F525-P23,F525,M1146,23,5.19
42,F525-P27,F525,M1146,27,5.53
46,F525-P31,F525,M1146,31,5.69
50,F525-P35,F525,M1146,35,5.63
54,F525-P39,F525,M1146,39,5.69
57,F525-P42,F525,M1146,42,6.04
61,F525-P46,F525,M1146,46,6.10
69,F525-P51,F525,M1146,51,7.36
26,F526-P11,F526,M1146,11,0.91
30,F526-P15,F526,M1146,15,2.00
34,F526-P19,F526,M1146,19,3.87
38,F526-P23,F526,M1146,23,5.61
42,F526-P27,F526,M1146,27,5.85
46,F526-P31,F526,M1146,31,6.10
50,F526-P35,F526,M1146,35,6.19
54,F526-P39,F526,M1146,39,6.27
57,F526-P42,F526,M1146,42,6.34
61,F526-P46,F526,M1146,46,6.51
69,F526-P51,F526,M1146,51,6.81
26,F527-P11,F527,M1146,11,0.85
30,F527-P15,F527,M1146,15,1.81
34,F527-P19,F527,M1146,19,3.33
38,F527-P23,F527,M1146,23,4.71
42,F527-P27,F527,M1146,27,5.15
46,F527-P31,F527,M1146,31,5.74
50,F527-P35,F527,M1146,35,5.56
54,F527-P39,F527,M1146,39,5.61
57,F527-P42,F527,M1146,42,6.00
61,F527-P46,F527,M1146,46,5.87
69,F527-P51,F527,M1146,51,6.97
