ProteomicID,OrigionalID,Strain,FermenterID,SamplingID,SamplingTime
A01,SYS-F-u08-17-F516-P6,M145,F516,P6,21
A02,SYS-F-u08-17-F516-P14,M145,F516,P14,29
A03,SYS-F-u08-17-F516-P18,M145,F516,P18,33
A04,SYS-F-u08-17-F516-P22,M145,F516,P22,37
A05,SYS-F-u08-17-F516-P26,M145,F516,P26,41
A06,SYS-F-u08-17-F516-P30,M145,F516,P30,45
A07,SYS-F-u08-17-F516-P34,M145,F516,P34,49
A08,SYS-F-u08-17-F516-P38,M145,F516,P38,53
A09,SYS-F-u08-17-F516-P42,M145,F516,P42,57
A10,SYS-F-u08-17-F517-P6,M145,F517,P6,21
A11,SYS-F-u08-17-F517-P14,M145,F517,P14,29
A12,SYS-F-u08-17-F517-P18,M145,F517,P18,33
A13,SYS-F-u08-17-F517-P22,M145,F517,P22,37
A14,SYS-F-u08-17-F517-P26,M145,F517,P26,41
A15,SYS-F-u08-17-F517-P30,M145,F517,P30,45
A16,SYS-F-u08-17-F517-P34,M145,F517,P34,49
A17,SYS-F-u08-17-F517-P38,M145,F517,P38,53
A18,SYS-F-u08-17-F517-P42,M145,F517,P42,57
A19,SYS-F-u08-17-F518-P6,M145,F518,P6,21
A20,SYS-F-u08-17-F518-P14,M145,F518,P14,29
A21,SYS-F-u08-17-F518-P18,M145,F518,P18,33
A22,SYS-F-u08-17-F518-P22,M145,F518,P22,37
A23,SYS-F-u08-17-F518-P26,M145,F518,P26,41
A24,SYS-F-u08-17-F518-P30,M145,F518,P30,45
A25,SYS-F-u08-17-F518-P34,M145,F518,P34,49
A26,SYS-F-u08-17-F518-P38,M145,F518,P38,53
A27,SYS-F-u08-17-F518-P42,M145,F518,P42,57
B01,SYS-F-u08-17-F519-P18,M1152,F519,P18,33
B02,SYS-F-u08-17-F519-P26,M1152,F519,P26,41
B03,SYS-F-u08-17-F519-P30,M1152,F519,P30,45
B04,SYS-F-u08-17-F519-P34,M1152,F519,P34,49
B05,SYS-F-u08-17-F519-P38,M1152,F519,P38,53
B06,SYS-F-u08-17-F519-P42,M1152,F519,P42,57
B07,SYS-F-u08-17-F519-P46,M1152,F519,P46,61
B08,SYS-F-u08-17-F519-P50,M1152,F519,P50,65
B09,SYS-F-u08-17-F521-P18,M1152,F521,P18,33
B10,SYS-F-u08-17-F521-P26,M1152,F521,P26,41
B11,SYS-F-u08-17-F521-P30,M1152,F521,P30,45
B12,SYS-F-u08-17-F521-P34,M1152,F521,P34,49
B13,SYS-F-u08-17-F521-P38,M1152,F521,P38,53
B14,SYS-F-u08-17-F521-P42,M1152,F521,P42,57
B15,SYS-F-u08-17-F521-P46,M1152,F521,P46,61
B16,SYS-F-u08-17-F521-P50,M1152,F521,P50,65
B17,SYS-F-u08-17-F522-P18,M1152,F522,P18,33
B18,SYS-F-u08-17-F522-P26,M1152,F522,P26,41
B19,SYS-F-u08-17-F522-P30,M1152,F522,P30,45
B20,SYS-F-u08-17-F522-P34,M1152,F522,P34,49
B21,SYS-F-u08-17-F522-P38,M1152,F522,P38,53
B22,SYS-F-u08-17-F522-P42,M1152,F522,P42,57
B23,SYS-F-u08-17-F522-P46,M1152,F522,P46,61
B24,SYS-F-u08-17-F522-P50,M1152,F522,P50,65
